zip,age
89004,54.2
89011,40.8
89012,43.7
89014,36.2
89019,50.8
89030,29.8
89031,34.1
89032,34.0
89044,51.8
89052,44.1
89054,45.7
89074,41.4
89081,28.9
89084,35.5
89101,34.6
89102,35.3
89103,38.2
89104,39.1
89106,32.5
89107,35.8
89108,34.2
89109,43.4
89110,30.8
89113,37.0
89115,28.1
89117,41.2
89118,37.7
89119,34.5
89120,40.3
89121,40.5
89122,36.9
89123,39.3
89124,52.1
89128,38.8
89129,38.5
89130,41.1
89131,39.1
89134,63.3
89135,46.0
89138,36.8
89139,33.3
89141,36.0
89142,31.8
89143,33.0
89144,42.7
89145,43.7
89146,40.5
89147,39.3
89148,34.0
89149,37.9
89156,33.6
89161,53.1
89166,30.9
89169,33.3
89178,33.8
89179,32.6
89183,32.1
89191,21.3
90001,28.7
